dataset,abco,aco,ba,cs,da,de,dummy,fa,ga,goa,gwo,pso,woa
breast-cancer,5.0,1.0,11.5,6.0,8.5,8.5,13.0,10.0,3.0,11.5,2.0,4.0,7.0
dermatology,5.0,1.0,11.0,6.0,10.0,9.0,13.0,12.0,2.0,8.0,4.0,3.0,7.0
diabetes,5.0,1.0,12.0,7.0,6.0,11.0,13.0,9.0,2.0,10.0,3.0,4.0,8.0
ecoli,3.5,1.0,12.0,7.0,8.5,10.5,10.5,3.5,2.0,13.0,6.0,5.0,8.5
ionosphere,5.0,1.0,10.0,6.0,8.0,12.0,13.0,11.0,3.0,7.0,2.0,4.0,9.0
iris,5.5,5.5,5.5,5.5,5.5,5.5,12.0,11.0,5.5,13.0,5.5,5.5,5.5
parkinsons,4.0,1.0,11.0,6.0,7.0,8.0,13.0,12.0,3.0,10.0,2.0,5.0,9.0
sonar,3.0,1.0,9.0,7.0,8.0,10.0,13.0,12.0,2.0,6.0,5.0,4.0,11.0
spambase-460,4.0,1.0,11.0,7.0,8.0,10.0,13.0,12.0,3.0,6.0,2.0,5.0,9.0
spectf-heart,4.0,1.0,12.0,8.5,8.5,11.0,13.0,10.0,2.0,6.0,3.0,5.0,7.0
waveform5000,5.0,1.0,12.0,8.0,6.0,9.0,13.0,11.0,3.0,7.0,2.0,4.0,10.0
wdbc,5.0,1.0,12.0,6.0,9.5,8.0,13.0,11.0,4.0,9.5,2.0,3.0,7.0
wine,5.0,3.5,10.0,7.0,9.0,6.0,13.0,12.0,2.0,11.0,1.0,3.5,8.0
yeast,7.0,1.0,11.0,8.0,6.0,10.0,12.0,9.0,2.5,13.0,4.5,2.5,4.5
zoo,5.0,1.0,10.0,7.0,11.0,8.0,13.0,12.0,4.0,9.0,2.0,3.0,6.0
Mean,4.73,1.47,10.67,6.8,7.97,9.1,12.7,10.5,2.87,9.33,3.07,4.03,7.77
